# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 285:         6.399       53.575       0.00  HUIBERTGAT
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur;
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur;
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur);
# Q        = Globale straling (in J/cm2) per uurvak;
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak;
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming;
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km);
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar);
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming;
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland;
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen);
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
#
  240,20171003,    7,  300,   60,   60,   90,  131,     ,   92,    5,   20,    0,   -1,10149,   70,    0,   77,   23,    7,    0,    1,    0,    0,    0
  240,20171003,    8,  290,   60,   60,  110,  134,     ,   97,    3,   45,    1,    2,10159,   67,    7,   78,   81,    7,    0,    1,    0,    0,    0
  240,20171003,    9,  280,   60,   50,  110,  144,     ,  104,    2,   61,    1,    3,10168,   71,    7,   76,   23,    7,    0,    1,    0,    0,    0
  240,20171003,   10,  290,   70,   70,  120,  150,     ,   99,    5,  105,    0,    0,10179,   73,    3,   71,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   11,  290,   90,   90,  130,  162,     ,   99,    9,  196,    0,    0,10187,   74,    3,   66,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   12,  280,   80,   80,  120,  139,  114,  102,    5,  132,    1,    1,10195,   61,    7,   78,   81,    7,    0,    1,    0,    0,    0
  240,20171003,   13,  290,   80,   80,  120,  159,     ,   98,   10,  171,    0,   -1,10200,   78,    5,   66,   23,    7,    0,    1,    0,    0,    0
  240,20171003,   14,  290,   80,   80,  110,  147,     ,   92,    6,  112,    0,    0,10203,   73,    5,   69,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   15,  290,   70,   70,  110,  149,     ,   92,    8,   89,    0,    0,10210,   73,    7,   68,    2,    7,    0,    0,    0,    0,    0
  240,20171003,   16,  280,   70,   60,  110,  138,     ,   86,    3,   41,    0,    0,10212,   75,    6,   70,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   17,  280,   50,   50,   80,  138,     ,   85,    0,    7,    0,    0,10219,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   18,  280,   50,   50,   80,  138,  129,   83,    0,    0,    0,    0,10222,   80,    8,   69,    2,    7,    0,    0,    0,    0,    0
  240,20171003,   19,  270,   40,   50,   70,  136,     ,   80,    0,    0,    0,    0,10223,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   20,  260,   50,   50,   80,  137,     ,   85,    0,    0,    0,   -1,10222,   75,    8,   71,   51,    7,    0,    1,    0,    0,    0
  240,20171003,   21,  270,   50,   50,   80,  136,     ,   76,    0,    0,    0,   -1,10222,   80,    8,   67,   22,    7,    0,    1,    0,    0,    0
  240,20171003,   22,  260,   50,   60,   80,  139,     ,   72,    0,    0,    0,    0,10222,   80,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   23,  260,   60,   60,   90,  138,     ,   70,    0,    0,    0,    0,10220,   80,    8,   63,     ,    5,    0,    0,    0,    0,    0
  240,20171003,   24,  270,   60,   50,   90,  135,  123,   69,    0,    0,    0,    0,10218,   80,    8,   64,    2,    7,    0,    0,    0,    0,    0
  240,20171004,    1,  270,   60,   60,   90,  134,     ,   72,    0,    0,    0,    0,10218,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    2,  260,   60,   60,   90,  132,     ,   66,    0,    0,    0,    0,10214,   80,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    3,  270,   70,   70,  100,  128,     ,   62,    0,    0,    0,    0,10212,   80,    8,   63,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    4,  270,   70,   60,  100,  124,     ,   62,    0,    0,    0,    0,10207,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    5,  260,   60,   60,   80,  128,     ,   68,    0,    0,    0,    0,10203,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    6,  250,   60,   60,   90,  129,  114,   64,    0,    0,    0,    0,10200,   80,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    7,  240,   70,   70,  100,  130,     ,   68,    0,   10,    0,    0,10196,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    8,  260,   70,   80,  110,  138,     ,   74,    0,   27,    0,    0,10200,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20171004,    9,  250,   80,   80,  130,  141,     ,   69,    0,   51,    0,    0,10194,   82,    8,   61,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   10,  260,   90,  100,  140,  145,     ,   72,    0,   78,    0,    0,10196,   80,    8,   61,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   11,  260,  100,   90,  150,  153,     ,   82,    3,  116,    0,    0,10194,   81,    8,   62,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   12,  250,  110,  110,  150,  142,  119,   84,    1,   98,    0,    0,10192,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   13,  260,  100,   90,  140,  140,     ,   78,    0,   50,    0,    0,10191,   79,    8,   66,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   14,  260,  100,   90,  140,  139,     ,   74,    0,   52,    0,    0,10187,   81,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   15,  250,   90,   90,  140,  138,     ,   77,    0,   32,    0,    0,10182,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   16,  250,   80,   90,  130,  139,     ,   79,    0,   16,    0,    0,10176,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   17,  250,   90,   90,  140,  136,     ,   83,    0,    6,    0,   -1,10170,   75,    8,   70,   51,    7,    0,    1,    0,    0,    0
  240,20171004,   18,  250,   80,   70,  130,  139,  130,   86,    0,    0,    0,   -1,10173,   75,    8,   70,   23,    7,    0,    1,    0,    0,    0
  240,20171004,   19,  250,   80,   80,  120,  144,     ,   87,    0,    0,    0,    0,10166,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20171004,   20,  250,   80,   90,  120,  147,     ,   89,    0,    0,    0,   -1,10163,   74,    8,   68,   51,    7,    0,    1,    0,    0,    0
  240,20171004,   21,  250,   80,   70,  120,  140,     ,   99,    0,    0,    0,   -1,10157,   70,    8,   76,   81,    7,    0,    1,    0,    0,    0
  240,20171004,   22,  250,   80,  110,  150,  125,     ,  114,    0,    0,    9,    8,10153,   50,    8,   92,   62,    7,    0,    1,    0,    0,    0
  240,20171004,   23,  260,   80,   70,  130,  125,     ,  109,    0,    0,   10,    4,10138,   64,    8,   89,   51,    7,    0,    1,    0,    0,    0
  240,20171004,   24,  240,   60,   70,  100,  125,  119,  114,    0,    0,    8,    5,10125,   43,    8,   92,   52,    7,    0,    1,    0,    0,    0
  240,20171005,    1,  230,   70,   80,  120,  125,     ,  119,    0,    0,   10,   17,10110,   47,    8,   95,   58,    7,    0,    1,    0,    0,    0
  240,20171005,    2,  240,   80,   80,  130,  129,     ,  121,    0,    0,   10,   22,10094,   41,    8,   95,   62,    7,    0,    1,    0,    0,    0
  240,20171005,    3,  240,   90,   90,  140,  133,     ,  126,    0,    0,   10,   20,10075,   39,    8,   95,   58,    7,    0,    1,    0,    0,    0
  240,20171005,    4,  240,  100,  100,  140,  136,     ,  129,    0,    0,   10,   10,10064,   34,    8,   95,   53,    7,    0,    1,    0,    0,    0
  240,20171005,    5,  240,  110,  110,  180,  139,     ,  132,    0,    0,   10,   35,10049,   40,    8,   95,   82,    7,    0,    1,    0,    0,    0
